rank,player_id,player_name,tracked_fga,tracked_2pa,tracked_2pm,expected_2pt_makes,successful_games,failed_games,pbp_fga_global,two_fg_pct,two_xfg_pct,fg_minus_xfg_pp,xfg_coverage_pct_vs_pbp_fga
1,203999,Nikola Jokić,954,696,459,358.38500000000005,59,6,1132,65.94827586206897,51.49209770114943,14.456178160919535,84.2756183745583
2,1631248,Baylor Scheierman,309,79,52,41.824,64,4,333,65.82278481012658,52.94177215189873,12.881012658227846,92.7927927927928
3,1629029,Luka Doncic,120,59,38,30.855,5,0,1457,64.40677966101696,52.29661016949152,12.110169491525433,8.236101578586135
4,1628379,Luke Kennard,373,171,109,88.696,69,8,443,63.74269005847953,51.86900584795322,11.873684210526314,84.19864559819413
5,1628983,Shai Gilgeous-Alexander,1152,888,556,455.81,62,6,1321,62.612612612612615,51.32995495495496,11.282657657657658,87.20666161998486
6,1629639,Tyler Herro,419,241,143,115.964,30,3,515,59.33609958506224,48.11784232365145,11.218257261410791,81.35922330097087
7,1630557,Corey Kispert,334,131,85,70.63900000000001,54,3,394,64.8854961832061,53.92290076335879,10.962595419847311,84.77157360406092
8,1629029,Luka Dončić,1263,667,383,311.49,57,2,1457,57.42128935532234,46.70014992503748,10.721139430284857,86.68496911461908
9,201142,Kevin Durant,1183,796,463,377.964,71,7,1376,58.165829145728644,47.482914572864324,10.68291457286432,85.97383720930233
10,1627751,Jakob Poeltl,270,270,195,166.528,43,3,310,72.22222222222223,61.67703703703703,10.545185185185197,87.09677419354838
11,1628378,Donovan Mitchell,1280,714,422,347.362,66,4,1403,59.103641456582636,48.650140056022416,10.45350140056022,91.23307198859587
12,203954,Joel Embiid,634,485,275,227.782,37,1,697,56.70103092783505,46.96536082474227,9.73567010309278,90.96126255380202
13,201939,Stephen Curry,717,280,167,139.78,40,3,799,59.642857142857146,49.92142857142857,9.721428571428575,89.73717146433042
14,202685,Jonas Valančiūnas,326,301,190,161.729,57,6,390,63.12292358803987,53.73056478405316,9.39235880398671,83.58974358974359
