rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,1630551,Justin Champagnie,462,12,6,14,12,8.839,85.71428571428571,63.13571428571429,22.578571428571415
2,1628379,Luke Kennard,443,40,15,66,45,31.504,68.18181818181819,47.733333333333334,20.448484848484853
3,1629130,Duncan Robinson,698,21,8,25,17,12.424999999999999,68.0,49.7,18.299999999999997
4,203083,Andre Drummond,337,21,9,29,21,15.969,72.41379310344827,55.065517241379304,17.348275862068967
5,1641772,Nae'Qwan Tomlin,314,10,4,9,7,5.483,77.77777777777777,60.92222222222222,16.855555555555554
6,1629640,Keldon Johnson,797,26,8,40,27,20.362000000000002,67.5,50.90500000000001,16.59499999999999
7,203999,Nikola Jokić,1132,42,17,182,111,81.564,60.989010989010985,44.815384615384616,16.17362637362637
8,1630643,Jay Huff,611,14,7,18,12,9.115,66.66666666666667,50.638888888888886,16.027777777777786
9,1631248,Baylor Scheierman,333,21,10,30,18,13.629999999999999,60.0,45.43333333333333,14.56666666666667
10,201939,Stephen Curry,799,30,7,94,48,35.038,51.06382978723404,37.27446808510638,13.789361702127664
11,1642285,Cam Spencer,556,39,19,105,59,44.796,56.19047619047619,42.66285714285715,13.52761904761904
12,1628978,Donte DiVincenzo,835,26,9,31,18,13.886000000000001,58.064516129032256,44.79354838709678,13.270967741935479
13,1630245,Ayo Dosunmu,747,25,13,49,28,21.651,57.142857142857146,44.18571428571428,12.957142857142863
14,1628378,Donovan Mitchell,1403,50,19,219,118,89.836,53.881278538812786,41.021004566210046,12.86027397260274
15,1641707,Taylor Hendricks,355,12,9,13,8,6.355,61.53846153846154,48.88461538461539,12.653846153846153
16,1629639,Tyler Herro,515,19,14,85,46,35.449,54.11764705882353,41.70470588235294,12.41294117647059
17,1628983,Shai Gilgeous-Alexander,1321,51,17,378,218,172.335,57.67195767195767,45.59126984126984,12.080687830687829
18,1642844,Dylan Harper,656,41,19,74,43,34.081,58.108108108108105,46.05540540540541,12.052702702702696
19,1629060,Rui Hachimura,597,41,20,126,71,55.846000000000004,56.34920634920635,44.32222222222222,12.026984126984125
20,1631126,Caleb Love,490,20,13,35,18,13.951,51.42857142857143,39.86000000000001,11.568571428571424
21,203114,Khris Middleton,540,36,24,139,73,57.239,52.51798561151079,41.17913669064748,11.338848920863306
22,1629636,Darius Garland,672,30,13,100,53,41.695,53.0,41.695,11.305
23,1629029,Luka Dončić,1457,41,23,297,149,116.802,50.168350168350166,39.32727272727273,10.841077441077438
24,1631128,Christian Braun,389,13,6,21,11,8.791,52.38095238095238,41.86190476190476,10.519047619047619
25,1630557,Corey Kispert,394,13,5,15,8,6.4670000000000005,53.333333333333336,43.11333333333334,10.219999999999999
26,1630200,Tre Jones,617,32,8,59,34,28.08,57.6271186440678,47.59322033898305,10.033898305084747
27,1630538,Bones Hyland,468,17,15,20,10,8.102,50.0,40.510000000000005,9.489999999999995
28,1630696,Dru Smith,325,21,8,30,16,13.181000000000001,53.333333333333336,43.936666666666675,9.396666666666661
29,1631119,Jaylin Williams,352,19,4,23,12,9.847,52.17391304347826,42.813043478260866,9.360869565217392
30,201142,Kevin Durant,1376,57,21,484,255,210.35999999999999,52.68595041322314,43.46280991735537,9.223140495867767
31,1630198,Isaiah Joe,543,23,11,35,19,15.812999999999999,54.285714285714285,45.18,9.105714285714285
32,1628973,Jalen Brunson,1475,51,23,363,187,153.969,51.515151515151516,42.41570247933884,9.099449035812675
33,203935,Marcus Smart,476,32,15,47,23,18.748,48.93617021276596,39.889361702127665,9.046808510638293
34,1626171,Bobby Portis,750,48,18,188,96,79.051,51.06382978723404,42.04840425531915,9.015425531914893
35,1629655,Daniel Gafford,316,12,8,11,7,6.018,63.63636363636363,54.709090909090904,8.92727272727273
36,1629018,Gary Trent Jr.,473,32,12,61,31,25.57,50.81967213114754,41.91803278688525,8.901639344262293
37,1628975,Jevon Carter,307,23,12,35,17,13.928,48.57142857142857,39.79428571428572,8.777142857142849
38,1642349,Ajay Mitchell,590,34,13,82,43,35.939,52.4390243902439,43.828048780487805,8.610975609756096
39,203501,Tim Hardaway Jr.,778,42,20,69,36,30.128,52.17391304347826,43.663768115942034,8.510144927536224
40,1631172,Ousmane Dieng,398,29,15,69,36,30.179000000000002,52.17391304347826,43.73768115942029,8.436231884057968
41,1631170,Jaime Jaquez Jr.,915,48,22,120,64,54.386,53.333333333333336,45.32166666666667,8.011666666666663
42,1630249,Vít Krejčí,430,18,9,23,13,11.171,56.52173913043478,48.5695652173913,7.952173913043481
43,204001,Kristaps Porziņģis,388,24,7,86,42,35.245,48.83720930232558,40.98255813953488,7.854651162790702
44,1627750,Jamal Murray,1360,49,24,246,122,102.768,49.59349593495935,41.77560975609756,7.817886178861791
45,1642272,Jared McCain,480,36,13,71,37,31.494999999999997,52.11267605633803,44.35915492957746,7.753521126760575
46,203954,Joel Embiid,697,25,13,206,104,88.107,50.48543689320388,42.77038834951457,7.7150485436893135
47,1628991,Jaren Jackson Jr.,719,38,10,150,75,63.608000000000004,50.0,42.40533333333333,7.594666666666669
48,1641739,Toumani Camara,891,22,15,26,15,13.05,57.69230769230769,50.19230769230769,7.5
49,1628415,Dillon Brooks,959,35,21,223,111,94.79400000000001,49.775784753363226,42.508520179372205,7.267264573991021
50,1631124,Julian Strawther,319,23,11,41,20,17.058,48.78048780487805,41.604878048780485,7.175609756097565
51,202695,Kawhi Leonard,1258,44,21,326,164,141.518,50.306748466257666,43.410429447852756,6.89631901840491
52,1641757,Jordan Miller,399,23,12,37,19,16.494,51.351351351351354,44.57837837837838,6.772972972972973
53,1642263,Reed Sheppard,946,55,20,139,69,59.604,49.64028776978417,42.88057553956834,6.759712230215833
54,1627826,Ivica Zubac,482,30,10,66,37,32.547,56.06060606060606,49.31363636363636,6.7469696969697
55,1628381,John Collins,659,37,14,75,40,34.994,53.333333333333336,46.65866666666667,6.674666666666667
56,1630230,Naji Marshall,821,38,27,113,57,49.522,50.442477876106196,43.82477876106194,6.617699115044253
57,1630193,Immanuel Quickley,905,48,21,153,77,67.007,50.326797385620914,43.79542483660131,6.531372549019601
58,1630700,Dyson Daniels,777,52,12,89,51,45.212,57.30337078651685,50.80000000000001,6.5033707865168395
59,1629631,De'Andre Hunter,501,35,9,109,58,51.07,53.211009174311926,46.85321100917431,6.357798165137616
60,1628989,Kevin Huerter,596,33,9,46,24,21.082,52.17391304347826,45.8304347826087,6.34347826086956
61,1630595,Cade Cunningham,1189,49,13,217,107,93.345,49.30875576036866,43.016129032258064,6.292626728110598
62,202699,Tobias Harris,659,44,15,135,71,62.544,52.592592592592595,46.32888888888888,6.263703703703712
63,201942,DeMar DeRozan,1005,54,23,438,212,184.728,48.401826484018265,42.175342465753424,6.226484018264841
64,1631099,Keegan Murray,300,12,11,62,30,26.165999999999997,48.38709677419355,42.203225806451606,6.183870967741946
65,1628963,Marvin Bagley III,411,13,15,15,11,10.078,73.33333333333333,67.18666666666667,6.146666666666661
66,1627742,Brandon Ingram,1288,55,22,433,212,185.623,48.96073903002309,42.86905311778291,6.09168591224018
67,1630314,Brandon Williams,617,33,23,67,34,29.927,50.74626865671642,44.667164179104475,6.079104477611942
68,1642366,Quinten Post,439,21,10,23,13,11.654,56.52173913043478,50.66956521739131,5.8521739130434725
69,202696,Nikola Vučević,799,48,9,153,80,71.173,52.287581699346404,46.51830065359477,5.769281045751633
70,1630202,Payton Pritchard,1091,52,22,232,119,105.93400000000001,51.293103448275865,45.66120689655173,5.631896551724132
71,1630178,Tyrese Maxey,1501,46,22,202,92,80.792,45.54455445544554,39.9960396039604,5.548514851485145
72,1626164,Devin Booker,1198,43,21,319,152,134.34199999999998,47.64890282131662,42.113479623824446,5.535423197492172
73,1641730,Noah Clowney,631,28,9,37,17,14.959,45.945945945945944,40.42972972972973,5.516216216216215
74,204456,T.J. McConnell,450,39,15,175,90,80.42,51.42857142857143,45.95428571428572,5.474285714285713
75,203468,CJ McCollum,1154,58,17,243,114,100.84800000000001,46.91358024691358,41.501234567901236,5.412345679012347
76,1630170,Devin Vassell,755,48,17,168,83,74.142,49.404761904761905,44.13214285714285,5.272619047619052
77,1641729,Brice Sensabaugh,857,39,23,103,51,45.791,49.51456310679612,44.457281553398055,5.057281553398063
78,1629004,Svi Mykhailiuk,362,18,3,25,13,11.743,52.0,46.972,5.027999999999999
79,1628368,De'Aaron Fox,1047,53,18,227,114,102.798,50.220264317180614,45.285462555066076,4.934801762114539
