rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,15,203999,Nikola Jokić,1132,42,17,30,18,10.967,60.0,36.556666666666665,23.443333333333335
2,26,1630595,Cade Cunningham,1189,49,13,63,36,25.459,57.142857142857146,40.41111111111111,16.731746031746034
3,27,1642285,Cam Spencer,556,39,19,37,20,13.932,54.054054054054056,37.65405405405406,16.4
4,28,1631096,Chet Holmgren,779,49,16,25,13,8.943,52.0,35.772,16.228
5,31,201939,Stephen Curry,799,30,7,39,20,14.035,51.282051282051285,35.98717948717949,15.294871794871796
6,32,1628973,Jalen Brunson,1475,51,23,85,46,33.024,54.11764705882353,38.85176470588235,15.265882352941176
7,33,203114,Khris Middleton,540,36,24,54,28,19.762,51.851851851851855,36.596296296296295,15.25555555555556
8,34,1629060,Rui Hachimura,597,41,20,55,31,22.618000000000002,56.36363636363637,41.123636363636365,15.240000000000002
9,39,1629018,Gary Trent Jr.,473,32,12,25,13,9.403,52.0,37.612,14.387999999999998
10,40,1628983,Shai Gilgeous-Alexander,1321,51,17,89,49,36.709,55.056179775280896,41.246067415730344,13.810112359550551
11,44,202331,Paul George,513,24,13,45,23,17.147,51.111111111111114,38.10444444444444,13.006666666666675
12,48,1628368,De'Aaron Fox,1047,53,18,49,25,19.453,51.02040816326531,39.699999999999996,11.320408163265313
13,52,1626164,Devin Booker,1198,43,21,115,57,44.428,49.56521739130435,38.633043478260866,10.932173913043485
14,56,1626171,Bobby Portis,750,48,18,80,39,30.535,48.75,38.16875,10.581249999999997
15,57,1627759,Jaylen Brown,1543,46,25,141,73,58.239000000000004,51.773049645390074,41.30425531914894,10.468794326241131
16,60,1642263,Reed Sheppard,946,55,20,39,20,16.101,51.282051282051285,41.284615384615385,9.9974358974359
17,61,201142,Kevin Durant,1376,57,21,150,74,59.09,49.333333333333336,39.39333333333333,9.940000000000005
18,63,203501,Tim Hardaway Jr.,778,42,20,30,15,12.194,50.0,40.64666666666667,9.353333333333332
19,64,1630224,Jalen Green,512,17,15,33,16,12.963,48.484848484848484,39.28181818181818,9.203030303030303
20,65,1630178,Tyrese Maxey,1501,46,22,73,35,28.329,47.945205479452056,38.8068493150685,9.13835616438356
21,68,1630193,Immanuel Quickley,905,48,21,25,12,9.839,48.0,39.356,8.643999999999998
22,72,1629631,De'Andre Hunter,501,35,9,25,13,10.978,52.0,43.912,8.088000000000001
23,73,1630552,Jalen Johnson,1228,57,13,50,24,20.038999999999998,48.0,40.077999999999996,7.922000000000004
24,74,1627750,Jamal Murray,1360,49,24,102,48,40.168,47.05882352941177,39.38039215686274,7.678431372549028
25,75,202695,Kawhi Leonard,1258,44,21,95,43,35.805,45.26315789473684,37.689473684210526,7.5736842105263165
26,77,1627742,Brandon Ingram,1288,55,22,157,73,61.706,46.496815286624205,39.3031847133758,7.193630573248406
27,79,1629636,Darius Garland,672,30,13,25,11,9.28,44.0,37.12,6.880000000000003
28,82,201942,DeMar DeRozan,1005,54,23,169,76,64.973,44.97041420118343,38.445562130177514,6.524852071005917
29,85,1630170,Devin Vassell,755,48,17,55,26,22.825,47.27272727272727,41.5,5.772727272727273
30,86,1642267,Bub Carrington,741,48,29,60,28,24.548,46.666666666666664,40.91333333333333,5.753333333333337
