rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,1630551,Justin Champagnie,462,12,6,14,12,8.839,85.71428571428571,63.13571428571429,22.578571428571415
2,1631128,Christian Braun,389,13,6,10,7,4.754,70.0,47.54,22.46
3,1629130,Duncan Robinson,698,21,8,23,16,11.633,69.56521739130434,50.57826086956521,18.98695652173913
4,1628379,Luke Kennard,443,40,15,46,31,22.8,67.3913043478261,49.56521739130435,17.826086956521742
5,1641707,Taylor Hendricks,355,12,9,12,8,5.918,66.66666666666667,49.31666666666667,17.35
6,203083,Andre Drummond,337,21,9,29,21,15.969,72.41379310344827,55.065517241379304,17.348275862068967
7,1641772,Nae'Qwan Tomlin,314,10,4,9,7,5.483,77.77777777777777,60.92222222222222,16.855555555555554
8,1628378,Donovan Mitchell,1403,50,19,150,89,64.187,59.333333333333336,42.791333333333334,16.542
9,1642349,Ajay Mitchell,590,34,13,66,40,29.462,60.60606060606061,44.63939393939393,15.966666666666676
10,1629640,Keldon Johnson,797,26,8,37,25,19.259,67.56756756756756,52.05135135135136,15.516216216216208
11,203999,Nikola Jokić,1132,42,17,152,93,70.597,61.18421052631579,46.445394736842104,14.738815789473684
12,1631126,Caleb Love,490,20,13,22,12,8.844,54.54545454545455,40.199999999999996,14.345454545454551
13,1642272,Jared McCain,480,36,13,51,30,22.959,58.8235294117647,45.017647058823535,13.805882352941168
14,1629014,Anfernee Simons,648,36,14,55,31,23.714000000000002,56.36363636363637,43.11636363636364,13.24727272727273
15,1629029,Luka Dončić,1457,41,23,235,126,95.298,53.61702127659574,40.55234042553191,13.064680851063834
16,1628381,John Collins,659,37,14,57,34,26.575000000000003,59.64912280701754,46.62280701754387,13.02631578947367
17,1629639,Tyler Herro,515,19,14,70,39,30.047,55.714285714285715,42.924285714285716,12.79
18,1629636,Darius Garland,672,30,13,75,42,32.415,56.0,43.22,12.780000000000001
19,201939,Stephen Curry,799,30,7,55,28,21.003,50.90909090909091,38.18727272727273,12.721818181818179
