rank,team_abb,tracked_fga,opp_xEFG_pct,opp_tracked_actual_eFG_pct,opp_eFG_minus_xEFG_pp,xfg_coverage_pct_vs_opp_pbp_fga
1,OKC,6587,52.27044177926219,52.64915743130408,0.3787156520418904,90.89278322064303
2,SAS,6784,53.08364534198114,53.29451650943396,0.2108711674528223,90.8044438495516
3,CHA,6636,53.10984026522002,54.69409282700422,1.5842525617841972,92.08992506244796
4,DET,5898,53.1532044760936,53.03492709393014,-0.11827738216345551,84.40183171150544
5,BOS,6681,53.18017512348451,53.57730878610986,0.3971336626253503,93.88701517706576
6,POR,6744,53.856338967971546,55.219454329774614,1.363115361803068,92.09340434248259
7,MIA,6778,53.88656683387432,54.2342874004131,0.3477205665387828,88.84519596277363
8,ATL,6649,53.92849300646716,56.0460219581892,2.1175289517220435,90.64758009543286
9,LAC,6495,53.95491147036182,55.95842956120092,2.0035180908391013,90.49742232130417
10,HOU,6537,53.99638213247666,54.08444240477283,0.08806027229616831,90.57780241097409
11,CHI,7163,54.029652380287594,56.296244590255476,2.2665922099678824,93.19542024460057
12,NYK,6409,54.03316430020285,55.14120767670463,1.108043376501783,91.37439406900485
13,TOR,6482,54.072153656278935,54.84418389385992,0.7720302375809851,91.9824038597985
14,ORL,6767,54.085614009162114,55.305157381409785,1.2195433722476707,94.10374078709498
15,MIN,6760,54.14224112426035,54.260355029585796,0.11811390532544408,91.94776931447225
16,CLE,6391,54.21892505085277,56.00062588014395,1.7817008292911822,87.52396603670228
17,GSW,6827,54.265570528782774,56.408378497143694,2.14280796836092,94.29558011049724
18,IND,6815,54.696228906823194,56.625091709464414,1.9288628026412198,91.796875
19,DEN,6892,54.72888856645386,55.42658154381892,0.6976929773650582,92.12672102660072
20,MIL,6606,54.742658189524676,56.75143808658795,2.0087798970632775,91.80100055586436
21,DAL,7031,54.91719527805433,55.51841843265538,0.6012231546010511,91.37102014294997
22,PHX,6228,55.008798972382806,54.96146435452794,-0.04733461785486526,88.84450784593437
23,BKN,6353,55.03858019833151,58.15362820714623,3.1150480088147177,91.42322636350553
24,PHI,6816,55.19150528169014,55.531103286384976,0.33959800469483525,92.78518921862238
25,MEM,6758,55.287044983722986,57.30245634803196,2.0154113643089744,90.61410565835345
26,SAC,6866,55.49643169239733,58.2289542674046,2.7325225750072732,94.13216342199068
27,LAL,6699,55.78822212270488,56.635318704284224,0.8470965815793434,92.74539664959158
28,NOP,6957,56.03479229552969,56.63360643955728,0.5988141440275925,92.5009972078181
29,UTA,6839,56.13823658429597,58.963298727884194,2.8250621435882266,91.46716597565869
30,WAS,6695,56.30473487677372,57.0873786407767,0.7826437640029766,88.75778867824474
