rank,team_abb,tracked_fga,tracked_actual_eFG_pct,xEFG_pct,eFG_minus_xEFG_pp,xfg_coverage_pct_vs_pbp_fga
1,DEN,6598,58.9572597756896,54.04990148529857,4.907358290391031,91.70257123002085
2,MIL,6554,57.308513884650594,53.77602227647238,3.532491608178212,93.46833998859098
3,LAL,6649,58.05384268311024,54.73021506993533,3.3236276131749065,96.8818301034533
4,LAC,6504,57.06488314883149,53.94011377613775,3.1247693726937413,94.85197608283507
5,BOS,7001,56.58477360377089,53.88062419654336,2.7041494072275327,94.62089471550209
6,NYK,6876,56.682664339732405,54.23131180919139,2.4513525305410155,93.83187772925764
7,MIN,6993,56.8997568997569,54.51279136279139,2.386965536965512,96.33558341369334
8,CHA,6904,56.076187717265356,53.7295480880649,2.346639629200453,94.67910038398244
9,SAS,7024,57.24658314350797,55.13204014806377,2.1145429954441965,95.2794357026587
10,ATL,6964,56.56950028719127,54.47986789201608,2.0896323951751867,92.34849489457632
11,CLE,7065,57.232837933474876,55.1759872611465,2.0568506723283733,95.71873729846904
12,OKC,6949,56.8786875809469,54.95466254137287,1.9240250395740333,95.10058847680307
13,HOU,6801,56.11674753712689,54.82245258050286,1.2942949566240287,92.39233799755468
14,MIA,6769,55.46609543507165,54.25335352341558,1.2127419116560674,88.49522813439665
15,WAS,6815,54.292002934702865,53.220506236243594,1.0714966984592706,91.9827237144014
16,DAL,6751,54.18456524959265,53.28132128573545,0.9032439638572001,91.65082812924247
17,PHI,6860,54.44606413994169,53.67315597667639,0.7729081632652992,92.64010803511141
18,MEM,7036,54.12876634451393,53.42381324616261,0.7049530983513179,94.68443009016283
19,PHX,6888,54.51509872241579,53.82327235772359,0.6918263646922043,93.21965083231831
20,TOR,6875,55.68,55.260872727272734,0.41912727272726613,94.84066767830045
21,NOP,6968,54.025545350172216,53.78104190585533,0.24450344431688364,93.90835579514825
22,SAC,6973,53.44901763946651,53.55058081170228,-0.10156317223577105,95.54672513017265
23,CHI,7114,55.334551588417206,55.451426764127085,-0.11687517570987893,95.94066082265678
24,GSW,6908,55.580486392588305,55.84067747539085,-0.26019108280254244,94.89010989010988
25,UTA,6955,54.90294751976995,55.168368080517624,-0.2654205607476712,93.11822198420137
26,DET,6627,55.52286102308737,55.85747698807908,-0.33461596499170554,90.28610354223433
27,IND,6911,54.17450441325423,54.631912892490234,-0.45740847923600114,94.61938663745893
28,BKN,6661,53.3103137667017,53.8909022669269,-0.580588500225204,96.10445823113548
29,POR,6953,54.537609664892855,55.434481518768884,-0.8968718538760285,94.08660351826794
30,ORL,6823,53.905906492745125,54.82565586985197,-0.9197493771068466,94.16229643941485
