season,player_id,player_name,teams,games,potential_assists,potential_assists_per_game,actual_assists,potential_assist_conversion_pct
2025,1628932,A'ja Wilson,LVA,39,0,0.0,120,
2025,1642290,Aaliyah Edwards,CON/WAS,35,0,0.0,19,
2025,1642801,Aaliyah Nye,LVA,43,0,0.0,24,
2025,1630462,Aari McDonald,IND,20,0,0.0,94,
2025,1627672,Aerial Powers,GSV/IND,10,0,0.0,20,
2025,1642828,Ajae Petty,DAL,2,0,0.0,0,
2025,1629501,Alanna Smith,MIN,42,0,0.0,121,
2025,1628297,Alexis Prince,PHX,1,0,0.0,1,
2025,1642293,Alissa Pili,LAS/MIN,19,0,0.0,3,
2025,1641648,Aliyah Boston,IND,42,0,0.0,156,
2025,1628277,Allisha Gray,ATL,42,0,0.0,147,
2025,202252,Alysha Clark,SEA/WAS,42,0,0.0,51,
2025,203826,Alyssa Thomas,PHX,39,0,0.0,357,
2025,1629539,Amy Okonkwo,DAL,8,0,0.0,6,
2025,1642797,Anastasiia Olairi Kosu,MIN,20,0,0.0,5,
2025,1642800,Aneesah Morrow,CON,41,0,0.0,21,
2025,1642291,Angel Reese,CHI,29,0,0.0,108,
2025,1628878,Ariel Atkins,CHI,33,0,0.0,119,
2025,1629481,Arike Ogunbowale,DAL,29,0,0.0,120,
2025,1642793,Aziaha James,DAL,38,0,0.0,59,
2025,1628922,Azura Stevens,LAS,44,0,0.0,94,
2025,1627668,Breanna Stewart,NYL,31,0,0.0,108,
2025,1642788,Bree Hall,GSV/IND,4,0,0.0,0,
2025,203829,Bria Hartley,CON,38,0,0.0,117,
2025,1629488,Brianna Turner,IND,26,0,0.0,17,
2025,1629524,Bridget Carleton,MIN,44,0,0.0,89,
2025,1628280,Brionna Jones,ATL,44,0,0.0,95,
2025,203398,Brittney Griner,ATL,39,0,0.0,33,
2025,1628279,Brittney Sykes,SEA/WAS,38,0,0.0,151,
2025,1642286,Caitlin Clark,IND,12,0,0.0,105,
2025,1642287,Cameron Brink,LAS,19,0,0.0,9,
2025,1642344,Camryn Taylor,MIN,6,0,0.0,1,
2025,1642304,Carla Leite,GSV,37,0,0.0,75,
2025,1628508,Cecilia Zandalasini,GSV,19,0,0.0,32,
2025,203833,Chelsea Gray,LVA,43,0,0.0,236,
2025,204323,Cheyenne Parker-Tyus,LVA,2,0,0.0,0,
2025,1631064,Chloe Bibby,GSV/IND,13,0,0.0,7,
2025,1631090,Christyn Williams,DAL,4,0,0.0,3,
2025,202664,Courtney Vandersloot,CHI,7,0,0.0,37,
2025,1627675,Courtney Williams,MIN,44,0,0.0,271,
2025,204325,Crystal Bradford,LVA,4,0,0.0,1,
2025,203024,Damiris Dantas,IND,37,0,0.0,25,
2025,1630389,Dana Evans,LVA,43,0,0.0,95,
2025,201886,DeWanna Bonner,IND/PHX,32,0,0.0,37,
2025,204324,Dearica Hamby,LAS,44,0,0.0,144,
2025,1630096,DiJonai Carrington,DAL/MIN,31,0,0.0,48,
2025,1641649,Diamond Miller,DAL/MIN,40,0,0.0,31,
2025,1642798,Dominique Malonga,SEA,42,0,0.0,36,
2025,1642295,Elizabeth Kitley,LVA,12,0,0.0,1,
2025,204322,Elizabeth Williams,CHI,42,0,0.0,76,
2025,1631083,Emily Engstler,WAS,39,0,0.0,54,
2025,1628242,Emma Cannon,LAS,21,0,0.0,8,
2025,203416,Emma Meesseman,NYL,17,0,0.0,54,
2025,204365,Erica Wheeler,SEA,44,0,0.0,144,
2025,1629496,Ezi Magbegor,SEA,44,0,0.0,92,
2025,1628931,Gabby Williams,SEA,44,0,0.0,185,
2025,1641658,Grace Berger,DAL/LAS,19,0,0.0,58,
2025,1642817,Hailey Van Lith,CHI,28,0,0.0,44,
2025,1641650,Haley Jones,DAL/PHX,28,0,0.0,64,
2025,203863,Haley Peters,CON,33,0,0.0,25,
2025,1630387,Iliana Rupert,GSV,21,0,0.0,33,
2025,204330,Isabelle Harrison,NYL,34,0,0.0,24,
2025,1642808,JJ Quinerly,DAL,34,0,0.0,78,
2025,1629498,Jackie Young,LVA,43,0,0.0,219,
2025,1642292,Jacy Sheldon,CON/WAS,30,0,0.0,56,
2025,1631141,Jade Melbourne,WAS,42,0,0.0,119,
2025,1642240,Jaelyn Brown,CON,10,0,0.0,1,
2025,1642767,Janelle Salaun,GSV,36,0,0.0,43,
2025,1642320,Jaylyn Sherrod,MIN/NYL,26,0,0.0,12,
2025,1629491,Jessica Shepard,MIN,40,0,0.0,104,
2025,204319,Jewell Loyd,LVA,43,0,0.0,76,
2025,1627673,Jonquel Jones,NYL,31,0,0.0,85,
2025,1628886,Jordin Canada,ATL,28,0,0.0,159,
2025,1630115,Joyner Holmes,LVA,6,0,0.0,0,
2025,1627700,Julie Allemand,LAS,34,0,0.0,170,
2025,1642210,Julie Vanloo,GSV/LAS,35,0,0.0,68,
2025,1627674,Kahleah Copper,PHX,28,0,0.0,43,
2025,1630097,Kaila Charles,DAL/GSV,35,0,0.0,35,
2025,1642822,Kaitlyn Chen,GSV,23,0,0.0,22,
2025,1629480,Kalani Brown,PHX,29,0,0.0,16,
2025,1630154,Kamiah Smalls,ATL,3,0,0.0,0,
2025,1642289,Kamilla Cardoso,CHI,40,0,0.0,98,
2025,1642773,Kariata Diaby,CON,13,0,0.0,5,
